object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
3000,867,71,38,9,286,34,2,32,4,4,7,3,0,6,9,4,Valea Seacă,Bacău,27.038478899999998,46.2465057,867,63.01,g1
3001,539,216,155,18,544,36,7,67,19,7,11,37,4,42,32,16,Valea Seacă,Iași,26.664091100000004,47.2876244,544,31.09,g5
3002,1148,129,56,13,395,94,5,81,9,10,2,3,2,10,7,1,Valea Stanciului,Dolj,23.8253365,43.974090600000004,1148,58.42,g1
3003,79,32,23,4,136,124,7,24,3,3,0,0,1,0,3,0,Valea Teilor,Tulcea,28.486114500000003,45.1228256,136,30.98,g5
3004,723,50,37,14,236,24,12,19,6,6,5,2,4,7,7,2,Valea Ursului,Neamț,27.079893100000003,46.7930717,723,62.65,g1
3005,141,105,26,9,378,17,3,35,1,1,1,4,2,5,3,13,Valea Viilor,Sibiu,24.319967300000002,46.067836799999995,378,50.81,g5
3006,285,84,53,14,280,45,4,41,4,6,2,4,0,5,3,2,Valea Vinului,Satu Mare,23.1826172,47.6842918,285,34.25,g1
3007,312,131,202,6,279,13,10,78,8,3,2,3,0,4,2,14,Văleni-Dîmbovița,Dâmbovița,25.1695271,45.1650581,312,29.24,g1
3008,1575,1094,411,51,1274,393,50,482,33,24,53,40,14,65,98,183,Vălenii de Munte,Prahova,26.0524063,45.1913834,1575,26.97,g1
3009,325,18,9,1,107,5,7,8,1,2,0,1,0,4,2,0,Văleni,Neamț,26.710481599999998,47.0368652,325,66.33,g1
3010,606,65,71,5,232,79,5,49,2,3,2,5,6,1,4,2,Văleni,Olt,24.767673499999997,44.2157364,606,53.3,g1
3011,166,179,46,14,288,302,12,24,7,6,6,9,3,11,14,6,Văleni,Vaslui,27.7552299,46.752860999999996,302,27.63,g6
3012,222,66,33,6,342,31,1,21,0,1,1,0,1,4,7,4,Vălișoara,Hunedoara,22.8186207,46.027725200000006,342,46.22,g5
3013,78,61,34,7,208,16,11,18,1,1,1,6,0,2,7,4,Văliug,Caraș-Severin,22.029615399999997,45.2025375,208,45.71,g5
3014,1210,1891,429,51,1961,206,43,648,51,28,46,60,24,110,123,72,Valu lui Traian,Constanța,28.485702500000002,44.168026,1961,28.2,g5
3015,325,256,51,16,455,66,5,62,11,7,11,13,3,9,10,2,Vama Buzăului,Brașov,26.009124800000002,45.5727615,455,34.95,g5
3016,105,74,26,361,370,34,2,16,3,7,3,5,2,5,8,10,Vama,Satu Mare,23.417488100000003,47.810726200000005,370,35.89,g5
3017,336,304,126,16,816,77,13,155,13,10,15,10,14,32,31,25,Vama,Suceava,25.7100048,47.571327200000006,816,40.94,g5
3018,386,34,25,4,93,23,1,10,3,2,2,0,0,4,3,5,Vărădia,Caraș-Severin,21.5200958,45.0872765,386,64.87,g1
3019,212,107,66,5,242,44,4,106,6,0,5,2,2,2,6,19,Vărădia de Mureș,Arad,22.1583633,46.062576299999996,242,29.23,g5
3020,1573,237,95,10,403,231,9,105,16,9,6,19,3,18,13,9,Vărăști,Giurgiu,26.277448699999997,44.2537766,1573,57.08,g1
3021,762,347,228,30,594,98,20,107,28,12,24,9,12,23,18,37,Vărbilău,Prahova,25.9546814,45.179984999999995,762,32.44,g1
3022,12,14,5,657,18,5,0,1,1,1,0,1,0,0,0,0,Vărgata,Mureș,24.7970791,46.5866318,657,91.89,g4
3023,248,618,815,66,449,41,54,55,19,8,15,10,5,18,27,30,Variaș,Timiș,20.9848518,45.9954453,815,32.89,g3
3024,5,2,0,666,5,2,0,2,0,0,0,0,0,0,0,0,Vărșag,Harghita,25.35923,46.544712100000005,666,97.65,g4
3025,378,121,108,10,517,54,11,13,4,2,4,2,0,5,5,9,Vașcău,Bihor,22.458997699999998,46.468822499999995,517,41.59,g5
3026,466,158,63,21,423,27,3,51,9,10,11,10,0,5,9,7,Vasilați,Călărași,26.4466934,44.2914276,466,36.61,g1
3027,6201,6965,1979,190,5136,1319,185,1679,152,113,223,177,61,582,485,386,Vaslui,Vaslui,27.7376289,46.6491966,6965,26.96,g2
3028,514,145,139,17,427,113,16,51,10,2,6,4,2,11,4,4,Vața de Jos,Hunedoara,22.547838199999997,46.164028200000004,514,35.09,g1
3029,199,71,58,7,459,37,10,29,4,1,2,6,1,0,1,0,Vătava,Mureș,24.8358517,47.0151176,459,51.86,g5
3030,1481,1392,567,52,2160,272,52,759,44,31,50,42,19,153,134,111,Vatra Dornei,Suceava,25.3465347,47.366119399999995,2160,29.51,g5
3031,267,121,108,9,673,39,5,89,7,6,11,6,4,13,21,2,Vatra Moldoviței,Suceava,25.5421276,47.6281433,673,48.73,g5
3032,529,169,126,17,310,43,6,179,6,8,7,6,0,7,8,2,Vedea,Argeș,24.639720899999997,44.7772446,529,37.17,g1
3033,306,44,28,4,346,207,2,13,4,1,3,2,0,0,3,0,Vedea,Giurgiu,25.7989712,43.76952360000001,346,35.93,g5
3034,1552,70,24,4,191,12,2,25,6,6,0,2,1,3,6,3,Vedea,Teleorman,25.0950375,44.0989647,1552,81.38,g1
3035,887,44,45,5,170,22,3,11,2,5,1,1,0,2,2,1,Vela,Dolj,23.3767605,44.2821198,887,73.86,g1
3036,182,18,46,5,66,22,0,12,3,1,3,5,0,1,0,0,Verbița,Dolj,23.1780682,44.288414,182,50.0,g1
3037,508,140,112,18,597,39,19,160,13,11,16,3,11,46,17,115,Verești,Suceava,26.474416700000003,47.6329956,597,32.71,g5
3038,741,91,89,2,217,69,10,60,11,6,1,2,1,0,2,0,Verguleasa,Olt,24.3430367,44.6474571,741,56.91,g1
3039,332,44,82,6,203,7,9,20,6,3,4,1,1,1,1,26,Vermeș,Caraș-Severin,21.6488228,45.5273438,332,44.5,g1
3040,809,433,341,18,762,432,36,152,17,12,19,14,3,32,81,17,Vernești,Buzău,26.690673800000003,45.216529799999996,809,25.46,g1
3041,8,4,1,286,9,2,1,1,0,1,1,0,0,1,0,0,Vețca,Mureș,24.814489399999996,46.3417511,286,90.79,g4
3042,333,212,93,26,362,59,11,69,5,1,6,13,1,20,11,42,Vețel,Hunedoara,22.7559204,45.8715477,362,28.64,g5
3043,131,213,88,701,346,174,2,43,3,2,1,2,0,5,5,21,Vetiș,Satu Mare,22.747524300000002,47.783107799999996,701,40.36,g4
3044,250,90,25,8,469,54,6,21,2,5,1,1,3,4,3,1,Vetrișoaia,Vaslui,28.1974697,46.44927979999999,469,49.73,g5
3045,646,161,95,4,555,47,20,91,7,13,9,3,1,12,18,51,Vicovu de Jos,Suceava,25.7052402,47.882923100000006,646,37.28,g1
3046,977,300,190,20,1208,67,31,206,25,13,23,5,11,15,34,296,Vicovu de Sus,Suceava,25.6591663,47.9265747,1208,35.31,g5
3047,384,49,58,6,567,19,4,19,0,3,1,6,1,2,2,1,Victoria,Brăila,27.666929200000002,44.7975349,567,50.53,g5
3048,360,747,127,25,1070,111,31,107,20,16,31,16,2,29,25,45,Victoria,Brașov,24.701818499999998,45.7303734,1070,38.74,g5
3049,288,127,57,9,560,15,4,79,6,6,4,7,4,14,9,15,Victoria,Iași,27.6051979,47.2942085,560,46.51,g5
3050,329,188,60,13,345,29,6,75,7,2,10,22,4,4,1,23,Victor Vlad Delamarina,Timiș,21.8556843,45.5997467,345,30.86,g5
3051,2072,598,224,27,1070,233,16,196,23,16,23,20,8,51,38,36,Videle,Teleorman,25.553138699999998,44.2763901,2072,44.55,g1
3052,113,26,46,5,267,18,9,55,1,1,1,61,2,0,5,17,Vidra,Alba,22.9261036,46.3648758,267,42.58,g5
3053,763,532,112,10,1595,81,13,199,9,11,16,107,5,42,39,25,Vidra,Ilfov,26.151145899999996,44.2842674,1595,44.82,g5
