type,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16
Diaspora,9180,166581,9508,3715,121080,4422,1501,30005,1834,686,2898,2246,765,3948,12321,8776
Romania,2031585,1861655,574408,473062,2327988,368338,51850,492099,38601,25753,48889,52696,19646,96721,104820,122245
Total,2040765,2028236,583916,476777,2449068,372760,53351,522104,40435,26439,51787,54942,20411,100669,117141,131021
